,City,City_ID,Country,"Date unix, UTC",lon,lat,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
160,Toktogul,1538648,KG,1608135740,72.94,41.87,23.32,72,0,2.53
161,Camacha,2270385,PT,1608135740,-16.33,33.08,60.8,87,40,18.34
162,Petropavlovsk-Kamchatskiy,2122104,RU,1608135538,158.65,53.05,28.4,92,75,4.47
163,Price,5545269,US,1608135740,-110.81,39.6,21.2,62,1,3.06
164,Arraial do Cabo,3471451,BR,1608135740,-42.03,-22.97,87.8,70,0,9.17
165,Qaanaaq,3831208,GL,1608135491,-69.36,77.48,3.67,70,0,6.06
166,Neftçala,147425,AZ,1608135741,49.25,39.37,49.33,79,76,5.26
167,Saint Paul Harbor,5866583,US,1608135741,-152.41,57.79,21.2,85,1,5.82
168,São Filipe,3374210,CV,1608135536,-24.5,14.9,74.53,71,81,9.35
169,Vila Velha,3445026,BR,1608135715,-40.29,-20.33,86.0,66,20,17.22
170,Bambous Virieux,1106677,MU,1608135491,57.76,-20.34,79.0,88,40,10.29
171,Pevek,2122090,RU,1608135741,170.31,69.7,7.25,92,44,7.65
172,Pangody,1495626,RU,1608135741,74.49,65.85,-5.69,92,99,11.92
173,Mizdah,2214827,LY,1608135742,12.98,31.45,58.59,34,36,6.85
174,Tiksi,2015306,RU,1608135742,128.87,71.69,-16.71,89,100,3.65
175,Halifax,6324729,CA,1608135517,-63.57,44.65,26.6,53,20,13.87
176,Dabakala,2290609,CI,1608135742,-4.43,8.37,91.85,37,75,1.92
177,Roald,3141667,NO,1608135520,6.13,62.58,44.01,87,40,6.93
178,Chukhloma,567695,RU,1608135742,42.68,58.75,15.64,97,88,5.88
179,Kaitong,2036338,CN,1608135743,123.15,44.81,1.31,86,0,9.28
180,Thompson,6165406,CA,1608135512,-97.86,55.74,-4.0,83,90,2.24
181,Tshane,933726,BW,1608135743,21.87,-24.02,91.26,21,77,13.29
182,Kibala,2425791,TD,1608135743,18.35,9.11,91.4,29,0,3.06
183,Sambava,1056899,MG,1608135743,50.17,-14.27,78.84,83,5,11.99
184,Belaya Gora,2126785,RU,1608135743,146.42,68.53,-22.25,87,100,5.3
185,Yulara,6355222,AU,1608135743,130.99,-25.24,86.0,37,37,11.41
186,Port Elizabeth,964420,ZA,1608135743,25.57,-33.92,71.6,60,0,10.29
187,Upernavik,3418910,GL,1608135501,-56.15,72.79,18.36,83,14,4.38
188,Broome,5110365,US,1608135744,-75.83,42.25,25.0,62,20,11.41
189,Tazovsky,1489853,RU,1608135744,78.7,67.47,-6.14,91,100,12.21
190,Paamiut,3421193,GL,1608135744,-49.67,61.99,35.26,77,85,10.27
191,Radebeul,2851077,DE,1608135744,13.66,51.11,41.0,86,0,9.17
192,Serebryanyy Bor,2016977,RU,1608135745,124.8,56.8,-20.24,85,88,0.83
193,High Level,5975004,CA,1608135745,-117.14,58.52,-4.0,76,90,8.05
194,Namatanai,2090021,PG,1608135745,152.43,-3.67,81.21,80,77,9.19
195,Cidreira,3466165,BR,1608135556,-50.21,-30.18,76.93,79,40,9.31
196,Pulivendla,1259264,IN,1608135745,78.23,14.42,72.93,83,92,7.74
197,Tautira,4033557,PF,1608135745,-149.15,-17.73,77.0,73,75,3.36
198,Kupang,2057087,ID,1608135745,123.58,-10.17,80.69,83,74,7.31
199,Ilulissat,3423146,GL,1608135541,-51.1,69.22,24.8,41,20,18.34
200,Paro,1252490,BT,1608135746,89.41,27.43,36.21,75,5,3.4
201,Mossamedes,3347019,AO,1608135746,12.15,-15.2,75.2,73,90,11.41
202,Ponta Delgada,3372783,PT,1608135746,-25.67,37.73,64.4,88,40,12.75
203,Tasiilaq,3424607,GL,1608135746,-37.64,65.61,24.8,45,75,20.8
204,Berlevåg,780687,NO,1608135746,29.09,70.86,19.4,92,75,13.87
205,Khanbari,1283217,NP,1608135746,87.2,27.37,52.66,44,0,3.15
206,Thunder Bay,6166142,CA,1608135675,-89.32,48.4,21.2,92,90,8.05
207,Komsomolets,1522348,KZ,1608135746,62.07,53.75,19.92,91,100,12.93
208,Ilebo,215976,CD,1608135746,20.58,-4.32,84.49,66,85,1.16
209,Labuhan,8079926,ID,1608135747,112.21,-6.88,77.16,89,100,3.76
210,Kadipaten,7375666,ID,1608135747,113.22,-8.14,75.99,86,94,1.12
211,Majene,1636806,ID,1608135747,118.97,-3.54,79.81,73,100,4.54
212,Port Hardy,6111862,CA,1608135747,-127.42,50.7,46.4,87,90,16.11
213,Chui,3443061,UY,1608135747,-53.46,-33.7,70.57,67,54,10.38
214,Grindavik,3416888,IS,1608135747,-22.43,63.84,39.2,86,75,10.29
215,Doumé,2232497,CM,1608135747,13.45,4.23,91.62,22,99,1.77
216,Mukono,228853,UG,1608135747,32.76,0.35,77.0,69,20,4.7
217,Norman Wells,6089245,CA,1608135495,-126.83,65.28,-20.2,68,75,10.29
218,Kenai,5866063,US,1608135748,-151.26,60.55,24.01,92,20,3.36
219,Airai,1651810,TL,1608135519,125.41,-8.93,62.19,100,100,2.13
220,Pathein,1328421,MM,1608135748,94.73,16.78,74.17,70,61,4.43
221,Coyhaique,3894426,CL,1608135509,-72.07,-45.58,57.2,47,0,5.82
222,Wahiawā,5853992,US,1608135748,-158.02,21.5,73.0,100,90,6.82
223,Laas,3175096,IT,1608135748,10.7,46.62,42.01,66,75,3.36
224,Kasongo-Lunda,2315026,CD,1608135748,16.82,-6.47,81.73,74,100,2.57
225,Tonantins,3661894,BR,1608135749,-67.8,-2.87,86.61,60,99,4.36
226,Alenquer,3407980,BR,1608135749,-54.74,-1.94,80.6,78,75,10.29
227,Zhengjiatun,2033135,CN,1608135749,123.51,43.51,0.12,90,0,8.63
228,Henderson,5505411,US,1608135711,-114.98,36.04,42.01,37,1,4.7
229,Chillicothe,4828890,US,1608135749,-82.98,39.33,32.0,92,90,3.36
230,Cabedelo,3404558,BR,1608135638,-34.83,-6.98,87.8,62,75,11.41
231,Beringovskiy,2126710,RU,1608135750,179.32,63.05,12.72,96,99,10.09
232,Sarangani,1687186,PH,1608135750,125.46,5.4,82.58,74,87,4.18
233,Jaguarari,3460225,BR,1608135750,-40.2,-10.26,87.93,38,24,8.68
234,Lüderitz,3355672,NA,1608135750,15.16,-26.65,75.2,53,0,24.16
235,Provincia di Imperia,3175531,IT,1608135750,7.78,43.97,55.99,87,75,3.36
236,Galle,1246294,LK,1608135750,80.22,6.04,79.25,74,62,4.92
237,Inza,556283,RU,1608135750,46.36,53.85,14.31,96,81,2.86
238,Havelock,4470244,US,1608135654,-76.9,34.88,62.01,93,90,12.75
239,Lebu,3883457,CL,1608135751,-73.65,-37.62,59.31,56,0,20.13
240,Samarai,2132606,PG,1608135751,150.67,-10.62,81.7,69,80,5.41
241,Ayan,2027316,RU,1608135751,138.17,56.45,-3.14,90,100,19.08
242,Nishihara,1855342,JP,1608135751,127.76,26.18,62.6,62,75,6.93
243,Conselheiro Pena,3465639,BR,1608135751,-41.47,-19.17,83.43,61,73,4.97
244,Kroya,1639337,ID,1608135570,109.25,-7.63,78.62,84,99,3.06
245,Mayo,4362001,US,1608135711,-76.51,38.89,36.0,74,90,9.17
246,Westport,4845585,US,1608135751,-73.36,41.14,27.0,32,1,8.05
247,Shangqiu,1783934,CN,1608135752,115.65,34.45,31.44,78,100,4.29
248,Flinders,6255012,AU,1608135752,150.86,-34.58,73.0,93,98,1.01
249,Ostër,698247,UA,1608135752,30.88,50.95,33.01,100,100,8.97
250,Nome,5870133,US,1608135680,-165.41,64.5,19.4,79,92,14.99
251,Lubango,3347762,AO,1608135486,13.49,-14.92,84.2,31,20,9.17
252,Ol'ga,2018553,RU,1608135752,135.29,43.74,7.97,73,0,16.33
253,Tanabe,1850708,JP,1608135752,135.37,33.73,39.99,71,27,18.41
254,Alamosa,5411479,US,1608135753,-105.87,37.47,-5.8,83,1,1.25
255,Dolneni,791363,MK,1608135753,21.45,41.43,37.4,93,90,2.24
256,Sept-Îles,6144312,CA,1608135753,-66.38,50.2,10.99,51,0,13.87
257,Puerto Carreño,3671519,CO,1608135753,-67.49,6.19,88.16,57,82,6.46
258,Banda Aceh,1215502,ID,1608135753,95.32,5.56,78.78,80,100,7.29
259,Puerto Nariño,3671387,CO,1608135753,-70.38,-3.77,84.2,79,75,2.24
260,Sørland,3137469,NO,1608135754,12.69,67.67,39.2,80,75,14.99
261,Albstadt,2958595,DE,1608135754,9.03,48.22,43.0,10,51,3.2
262,Puro,1692364,PH,1608135754,123.38,12.48,79.68,81,37,11.61
263,Okhotsk,2122605,RU,1608135754,143.3,59.38,-1.59,83,89,20.13
264,Campbell River,5914132,CA,1608135754,-125.24,50.02,45.0,100,90,8.05
265,Chara,2025630,RU,1608135754,118.26,56.91,-9.51,76,100,2.66
266,Avarua,4035715,CK,1608135754,-159.78,-21.21,80.6,83,100,20.8
267,Fortuna,5563839,US,1608135754,-124.16,40.6,57.0,87,97,1.01
268,Touros,3386213,BR,1608135458,-35.46,-5.2,89.6,55,40,13.87
269,Sula,1685434,PH,1608135755,120.4,15.46,75.2,83,75,4.7
270,Provideniya,4031574,RU,1608135493,-173.3,64.38,14.2,94,79,21.59
271,Katherine,2068655,AU,1608135755,132.27,-14.47,78.8,83,100,3.36
272,Gardelegen,2922580,DE,1608135755,11.4,52.53,48.0,80,12,1.01
273,Esperance,2071860,AU,1608135505,121.9,-33.87,55.4,76,71,8.05
274,Gornopravdinsk,1506268,RU,1608135755,69.9,60.05,16.92,95,100,7.25
275,Miajadas,2513893,ES,1608135755,-5.91,39.15,51.01,94,100,5.41
276,Puerto Baquerizo Moreno,3652758,EC,1608135755,-89.6,-0.9,77.0,78,75,8.05
277,Kimberley,990930,ZA,1608135756,24.76,-28.73,95.0,28,0,8.05
278,Portland,5746545,US,1608135618,-122.68,45.52,46.99,81,90,8.05
279,Mingora,1170395,PK,1608135756,72.36,34.78,39.6,60,0,5.7
280,Nova Praha,699802,UA,1608135756,32.9,48.57,32.0,97,90,2.24
281,Reutte,2767511,AT,1608135756,10.72,47.48,41.0,82,19,5.28
282,Rivne,695594,UA,1608135756,26.23,50.62,33.8,97,90,6.71
283,Manyana,933416,BW,1608135756,21.72,-23.4,90.21,22,86,12.88
284,Verkhovazh'ye,474354,RU,1608135757,42.05,60.75,21.18,97,100,7.05
285,Kavieng,2094342,PG,1608135757,150.8,-2.57,83.05,78,98,11.32
286,Tobol,1518139,KZ,1608135757,62.58,52.68,16.99,92,99,10.96
287,San Patricio,4726521,US,1608135513,-97.52,28.02,51.8,43,1,13.87
288,Departamento de Maldonado,3441890,UY,1608135757,-54.92,-34.67,78.01,22,0,11.41
289,Bonavista,5905393,CA,1608135757,-53.11,48.65,26.6,79,100,18.34
290,Bunia,217695,CD,1608135757,30.25,1.57,69.08,54,24,3.0
291,Karasjok,779350,NO,1608135757,25.51,69.47,26.6,63,75,17.22
292,Padilla,3673407,CO,1608135758,-76.31,3.22,78.78,58,61,2.82
293,Arrondissement de Meaux,2994797,FR,1608135758,3.0,48.92,48.0,92,100,4.0
294,Vzmorye,6930743,RU,1608135758,20.24,54.7,44.6,93,90,8.95
295,Longkou,1802550,CN,1608135758,120.33,37.65,32.23,84,0,12.71
296,Jiayuguan City,1280957,CN,1608135758,98.3,39.82,11.12,81,85,4.92
297,Gushikawa,1863495,JP,1608135758,127.87,26.35,60.8,72,90,18.34
298,Pangnirtung,6096551,CA,1608135544,-65.71,66.15,10.4,72,40,2.24
299,Tateyama,1850523,JP,1608135497,139.87,34.98,39.2,55,20,10.29
300,Aklavik,5882953,CA,1608135759,-135.01,68.22,-20.2,75,40,9.17
301,Plérin,2986795,FR,1608135759,-2.78,48.54,48.99,93,0,3.36
302,Copiapó,3893656,CL,1608135759,-70.33,-27.37,62.6,72,90,8.05
303,Dauphin,5935341,CA,1608135759,-100.05,51.15,10.4,94,1,6.93
304,Minot,5690532,US,1608135740,-101.3,48.23,30.99,74,90,9.17
305,Faanui,4034551,PF,1608135505,-151.75,-16.48,79.72,80,61,18.68
306,Lufilufi,4035249,WS,1608135760,-171.6,-13.87,75.2,100,75,9.17
307,Bereda,3105522,ES,1608135760,-7.54,43.27,50.0,94,94,1.99
308,Terrace,6162949,CA,1608135760,-128.6,54.52,32.0,84,90,5.82
309,Lixouri,258175,GR,1608135760,20.43,38.2,57.2,87,0,3.11
310,Constitución,3893726,CL,1608135536,-72.42,-35.33,67.6,41,0,10.22
311,Kushiro,2129376,JP,1608135760,144.37,42.98,23.72,83,49,8.3
312,Moerai,4034188,PF,1608135760,-151.33,-22.43,78.94,77,90,12.26
313,Havre-St-Pierre,5972291,CA,1608135760,-63.6,50.23,14.0,47,1,21.92
314,Grand Gaube,934479,MU,1608135761,57.66,-20.01,79.0,83,4,5.99
315,Finschhafen,2097418,PG,1608135761,147.87,-6.6,80.13,80,100,5.39
316,Katobu,1640972,ID,1608135761,122.53,-4.94,77.59,88,96,1.66
317,Margate,2643044,GB,1608135648,1.39,51.38,51.01,73,100,5.99
318,Ginir,336454,ET,1608135761,40.7,7.13,59.07,35,74,1.95
319,Sinnamary,3380290,GF,1608135761,-52.95,5.38,83.46,76,10,8.5
320,Ulaanbaatar,2028462,MN,1608135600,106.88,47.91,-16.6,68,2,4.47
321,Smithers,6149996,CA,1608135761,-127.17,54.78,32.0,94,90,5.82
322,Maurānwān,1263291,IN,1608135762,80.88,26.43,61.45,45,0,7.67
323,Severo-Kuril'sk,2121385,RU,1608135762,156.12,50.68,26.94,87,11,2.57
324,Seymchan,2121373,RU,1608135762,152.43,62.88,-26.86,82,100,2.57
325,Vung Tau,1562414,VN,1608135762,107.08,10.35,79.38,82,90,15.19
326,Dandong,2037886,CN,1608135762,124.39,40.13,11.23,76,0,2.37
327,St. George's,3579925,GD,1608135762,-61.75,12.06,86.0,70,20,14.99
328,Colares,2269142,PT,1608135762,-9.45,38.8,57.99,76,40,18.34
329,Srednekolymsk,2121025,RU,1608135762,153.68,67.45,-17.12,88,100,13.27
330,Korla,1529376,CN,1608135762,86.15,41.76,21.27,84,72,2.73
331,Alofi,4036284,NU,1608135763,-169.92,-19.06,75.2,88,76,5.82
332,Goderich,5962442,CA,1608135763,-81.72,43.75,23.0,73,100,21.92
333,Haifa,294801,IL,1608135763,34.99,32.82,59.0,93,75,6.93
334,Ulladulla,2145554,AU,1608135763,150.47,-35.35,69.8,100,90,5.82
335,Kitimat,5993072,CA,1608135763,-128.65,54.05,32.0,82,90,5.82
336,Lira,230166,UG,1608135763,32.91,2.23,76.44,31,2,2.46
337,Bathurst,2176632,AU,1608135660,149.58,-33.42,64.0,95,99,2.1
338,Cayenne,3382160,GF,1608135512,-52.33,4.93,86.0,70,19,9.17
339,Fort Nelson,5955902,CA,1608135536,-122.7,58.81,-2.2,77,90,2.24
340,Kem',551145,RU,1608135764,34.58,64.96,30.31,99,100,6.35
341,Delta,2565341,NG,1608135764,6.0,5.5,86.88,64,59,6.06
342,Port Hedland,2063042,AU,1608135764,118.57,-20.32,82.4,78,48,12.75
343,Tumarbong,1680763,PH,1608135764,119.46,10.38,80.44,81,100,14.32
344,Milyutinskaya,526504,RU,1608135764,41.67,48.63,26.42,98,91,8.59
345,Waipawa,2206874,NZ,1608135764,175.52,-41.41,59.0,77,34,19.46
346,Omboué,2396853,GA,1608135765,9.26,-1.57,79.95,82,93,8.68
347,Haines Junction,5969025,CA,1608135765,-137.51,60.75,8.6,84,100,1.54
348,Aracati,3407378,BR,1608135590,-37.77,-4.56,89.67,49,100,13.76
349,Ust-Kuyga,2013921,RU,1608135765,135.6,70.02,-33.56,81,94,2.8
350,Saint-François,2980080,FR,1608135765,3.91,46.42,53.01,76,0,6.93
351,Humaitá,3664078,BR,1608135516,-63.02,-7.51,94.28,42,15,3.31
352,Elizabeth City,4465088,US,1608135765,-76.25,36.29,52.0,93,90,13.87
353,Grand-Santi,3381538,GF,1608135765,-54.38,4.25,92.37,45,27,2.98
354,Dhidhdhoo,1337612,MV,1608135765,73.1,6.88,82.74,68,73,7.96
355,Villa María,3832694,AR,1608135766,-63.24,-32.41,86.0,26,0,4.0
356,Kaeo,2189343,NZ,1608135766,173.78,-35.1,53.01,91,1,4.0
357,Lolodorf,2229267,CM,1608135766,10.73,3.23,76.68,89,100,3.4
358,Gwadar,1177446,PK,1608135766,62.33,25.12,68.9,31,0,5.23
359,Calvinia,3369174,ZA,1608135766,19.78,-31.47,86.58,13,0,18.9
360,Aden,415189,YE,1608135766,45.04,12.78,77.31,71,0,12.1
361,Ulverstone,2145532,AU,1608135766,146.17,-41.15,52.0,94,100,7.0
362,Riachão do Jacuípe,3451474,BR,1608135584,-39.39,-11.81,94.12,32,51,4.76
363,Saint-Médard-en-Jalles,2978072,FR,1608135767,-0.72,44.9,53.6,81,0,9.17
364,Saurimo,145531,AO,1608135767,20.39,-9.66,80.6,69,75,5.3
365,Changji,1529569,CN,1608135767,87.32,44.02,-0.4,84,40,2.24
366,Russell,4047434,US,1608135767,-85.2,32.35,46.4,87,90,6.93
367,Hilo,5855927,US,1608135767,-155.09,19.73,71.6,83,90,1.77
368,Solnechnyy,2016307,RU,1608135767,136.63,50.72,-4.16,84,82,1.1
369,Ciudad Río Bravo,3520271,MX,1608135499,-98.1,25.98,55.4,37,5,11.41
370,Muroto-misakicho,1856392,JP,1608135767,134.15,33.28,41.92,66,0,19.55
371,Hay River,5972762,CA,1608135768,-115.8,60.82,-20.2,75,100,5.82
372,Port Blair,1259385,IN,1608135768,92.75,11.67,81.32,82,100,9.82
373,Haicheng,2037086,CN,1608135768,122.75,40.85,12.16,72,0,5.66
374,Palmer,4946620,US,1608135768,-72.33,42.16,21.2,44,75,5.82
375,Bilma,2446796,NE,1608135768,12.92,18.69,74.64,19,37,5.12
376,San Fernando,1690039,PH,1608135768,120.69,15.03,75.2,83,75,4.7
377,Nanortalik,3421765,GL,1608135768,-45.24,60.14,29.97,90,100,10.8
378,Aksarka,1512019,RU,1608135768,67.8,66.56,4.68,94,100,13.87
379,Padang,1633419,ID,1608135769,100.35,-0.95,75.96,82,100,3.24
380,Najrān,103630,SA,1608135769,44.13,17.49,69.8,30,0,9.17
381,Megion,1499053,RU,1608135769,76.11,61.03,6.8,84,90,4.47
382,Geraldton,2070998,AU,1608135547,114.6,-28.77,68.0,82,90,18.34
383,Kumul,1529484,CN,1608135769,93.45,42.8,15.1,74,0,0.72
